violation_code,violation_type,default_points_mode,canonical_description,action_category,action_priority,action_summary_zh,action_steps_zh,action_summary_en,safe_food_handling_refs,occurrences,businesses_affected,source_run_id,generated_at_utc
0700,RED,15,Food obtained from approved source,approved_source_and_food_condition,high,食材与水冰必须来自合规来源，并确保食品状态安全可追溯。,仅向批准供应商采购；保留进货单据和批次信息；发现可疑或回收食品立即隔离报废,"Use approved sources and maintain safe, traceable food condition.","1 (Receiving food), 2 (Storage)",155,128,20260225T234039Z,2026-02-25T23:40:39+00:00
0800,RED,15,"Water supply, ice from approved source",approved_source_and_food_condition,high,食材与水冰必须来自合规来源，并确保食品状态安全可追溯。,仅向批准供应商采购；保留进货单据和批次信息；发现可疑或回收食品立即隔离报废,"Use approved sources and maintain safe, traceable food condition.","1 (Receiving food), 2 (Storage)",39,34,20260225T234039Z,2026-02-25T23:40:39+00:00
0900,RED,10,Proper washing of fruits and vegetables,approved_source_and_food_condition,high,食材与水冰必须来自合规来源，并确保食品状态安全可追溯。,仅向批准供应商采购；保留进货单据和批次信息；发现可疑或回收食品立即隔离报废,"Use approved sources and maintain safe, traceable food condition.","1 (Receiving food), 2 (Storage)",659,557,20260225T234039Z,2026-02-25T23:40:39+00:00
1000,RED,10,"Food in good condition, safe and unadulterated; approved additives",approved_source_and_food_condition,high,食材与水冰必须来自合规来源，并确保食品状态安全可追溯。,仅向批准供应商采购；保留进货单据和批次信息；发现可疑或回收食品立即隔离报废,"Use approved sources and maintain safe, traceable food condition.","1 (Receiving food), 2 (Storage)",413,332,20260225T234039Z,2026-02-25T23:40:39+00:00
1100,RED,10,"Proper disposition of returned, previously served, unsafe, or contaminated food; Date marking",approved_source_and_food_condition,high,食材与水冰必须来自合规来源，并确保食品状态安全可追溯。,仅向批准供应商采购；保留进货单据和批次信息；发现可疑或回收食品立即隔离报废,"Use approved sources and maintain safe, traceable food condition.","1 (Receiving food), 2 (Storage)",2,2,20260225T234301Z,2026-02-25T23:43:01+00:00
1200,RED,5,Proper shellstock ID; wild mushroom ID; parasite destruction procedures for fish,approved_source_and_food_condition,high,食材与水冰必须来自合规来源，并确保食品状态安全可追溯。,仅向批准供应商采购；保留进货单据和批次信息；发现可疑或回收食品立即隔离报废,"Use approved sources and maintain safe, traceable food condition.","1 (Receiving food), 2 (Storage)",1,1,20260225T234301Z,2026-02-25T23:43:01+00:00
1300,RED,15,Food contact surfaces and utensils used for raw meat thoroughly cleaned and sanitized. no ..,cross_contamination,high,生熟分离、工器具分离、流程分区，降低交叉污染风险。,原料与即食食品分层分区存放；专板专刀专夹并颜色标识；关键转换步骤执行清洗消毒,Prevent cross-contamination through separation and sanitation controls.,"10 (Cross contamination), 2 (Storage), 12 (Serving food)",592,441,20260225T234039Z,2026-02-25T23:40:39+00:00
1400,RED,5,Raw meats below and away from ready-to-eat food; species separated,cross_contamination,high,生熟分离、工器具分离、流程分区，降低交叉污染风险。,原料与即食食品分层分区存放；专板专刀专夹并颜色标识；关键转换步骤执行清洗消毒,Prevent cross-contamination through separation and sanitation controls.,"10 (Cross contamination), 2 (Storage), 12 (Serving food)",4,4,20260225T234301Z,2026-02-25T23:43:01+00:00
1500,RED,5,Proper handling of pooled eggs,cross_contamination,high,生熟分离、工器具分离、流程分区，降低交叉污染风险。,原料与即食食品分层分区存放；专板专刀专夹并颜色标识；关键转换步骤执行清洗消毒,Prevent cross-contamination through separation and sanitation controls.,"10 (Cross contamination), 2 (Storage), 12 (Serving food)",546,398,20260225T234039Z,2026-02-25T23:40:39+00:00
1600,BLUE,30,Proper cooling procedure,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",2,2,20260225T234039Z,2026-02-25T23:40:39+00:00
1600,RED,25,Proper cooling procedure,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",2,2,20260225T234301Z,2026-02-25T23:43:01+00:00
1710,BLUE,25,Proper hot holding temperatures (less than 130° F ),temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",1,1,20260225T234039Z,2026-02-25T23:40:39+00:00
1710,RED,25,Proper hot holding temperatures (less than130 degrees),temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",2,2,20260225T234301Z,2026-02-25T23:43:01+00:00
1720,RED,5,Proper hot holding temperatures; between 130 degrees F to 134 degrees F,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",1151,903,20260225T234039Z,2026-02-25T23:40:39+00:00
1800,RED,25,Proper cooking time and temperature; proper use of non-continuous cooking,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",301,236,20260225T234039Z,2026-02-25T23:40:39+00:00
1900,BLUE,25,No room temperature storage; proper use of time...,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",2,2,20260225T234039Z,2026-02-25T23:40:39+00:00
1900,RED,25,No room temperature storage; proper use of time as a control,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",2,2,20260225T234301Z,2026-02-25T23:43:01+00:00
2000,RED,15,Proper reheating procedures for hot holding,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",506,431,20260225T234039Z,2026-02-25T23:40:39+00:00
2110,BLUE,10,Proper cold holding temperatures (greater than 45° F),temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",15,15,20260225T234039Z,2026-02-25T23:40:39+00:00
2110,RED,10,Proper cold holding temperatures (greater than 45° F),temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",3,3,20260225T234301Z,2026-02-25T23:43:01+00:00
2120,RED,5,Proper cold holding temperatures ( 42° F to 45° F),temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",4,4,20260225T234301Z,2026-02-25T23:43:01+00:00
2200,BLUE,5,Accurate thermometer provided and used ...,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",2,2,20260225T234039Z,2026-02-25T23:40:39+00:00
2200,RED,5,Accurate thermometer provided and used ...,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",3063,2014,20260225T234039Z,2026-02-25T23:40:39+00:00
2300,RED,5,Proper Consumer Advisory posted for raw ...,consumer_info_and_labeling,high,消费者提示、标签和日期标识要准确完整，确保信息透明。,含生食风险菜单张贴 consumer advisory；预包装与在制品按规定标注；冷藏即食食品执行日期管理,"Maintain accurate consumer advisories, labels, and date-marking.","11 (Room temperature), 2 (Storage)",1071,757,20260225T234039Z,2026-02-25T23:40:39+00:00
2400,RED,10,Pasteurized foods used as required;...,approved_source_and_food_condition,high,食材与水冰必须来自合规来源，并确保食品状态安全可追溯。,仅向批准供应商采购；保留进货单据和批次信息；发现可疑或回收食品立即隔离报废,"Use approved sources and maintain safe, traceable food condition.","1 (Receiving food), 2 (Storage)",16,14,20260225T234039Z,2026-02-25T23:40:39+00:00
2500,BLUE,10,"Toxic substances properly identified,...",chemical_safety,high,化学品分类标识并与食品隔离存放，防止误用和污染。,化学品容器统一标签；仅在指定区域存放并下置；使用后及时回位并记录,"Separate, label, and control toxic substances to prevent contamination.","2 (Storage), 10 (Cross contamination)",3,3,20260225T234039Z,2026-02-25T23:40:39+00:00
2500,RED,10,"Toxic substances properly identified,...",chemical_safety,high,化学品分类标识并与食品隔离存放，防止误用和污染。,化学品容器统一标签；仅在指定区域存放并下置；使用后及时回位并记录,"Separate, label, and control toxic substances to prevent contamination.","2 (Storage), 10 (Cross contamination)",2341,1732,20260225T234039Z,2026-02-25T23:40:39+00:00
2600,BLUE,10,"Compliance with risk control plans, variances,...",permit_and_haccp,high,许可、风险控制计划和 HACCP 文档需持续有效并按现场一致执行。,核对许可状态与经营范围一致；复杂工艺保留最新版 HACCP/方差批准文件；按计划执行并留存记录,"Keep permits, risk control plans, and HACCP procedures valid and implemented.","Regulatory compliance, 1 (Receiving food), 6 (Cooking)",1,1,20260225T234039Z,2026-02-25T23:40:39+00:00
2600,RED,10,Compliance with valid permit; operating and risk control plans and required written procedure,permit_and_haccp,high,许可、风险控制计划和 HACCP 文档需持续有效并按现场一致执行。,核对许可状态与经营范围一致；复杂工艺保留最新版 HACCP/方差批准文件；按计划执行并留存记录,"Keep permits, risk control plans, and HACCP procedures valid and implemented.","Regulatory compliance, 1 (Receiving food), 6 (Cooking)",1,1,20260225T234301Z,2026-02-25T23:43:01+00:00
2700,RED,10,Compliance with variance; specialized processes; HACCP plan,permit_and_haccp,high,许可、风险控制计划和 HACCP 文档需持续有效并按现场一致执行。,核对许可状态与经营范围一致；复杂工艺保留最新版 HACCP/方差批准文件；按计划执行并留存记录,"Keep permits, risk control plans, and HACCP procedures valid and implemented.","Regulatory compliance, 1 (Receiving food), 6 (Cooking)",312,246,20260225T234039Z,2026-02-25T23:40:39+00:00
2800,BLUE,5,Food received at proper temperature,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",170,158,20260225T234039Z,2026-02-25T23:40:39+00:00
2900,BLUE,5,Adequate equipment for temperature control,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",1804,1322,20260225T234039Z,2026-02-25T23:40:39+00:00
3000,BLUE,3,Proper thawing methods used,temperature_control,high,建立全流程温控（冷藏、热保温、烹饪、冷却、复热、解冻）与时间控制。,每班记录冷藏和热保温温度；大批量食品按分浅盘快速冷却；复热用于保温时须先达标后上台；室温暴露时间严格受控,"Apply strict time-temperature control across holding, cooking, cooling, reheating, and thawing.","3/4 (Cold holding), 6 (Cooking), 7 (Reheating), 8 (Hot holding), 9 (Cooling), 11 (Room temperature), 5 (Thawing)",1,1,20260225T234301Z,2026-02-25T23:43:01+00:00
3100,BLUE,5,Food properly labeled; proper date marking,consumer_info_and_labeling,medium,消费者提示、标签和日期标识要准确完整，确保信息透明。,含生食风险菜单张贴 consumer advisory；预包装与在制品按规定标注；冷藏即食食品执行日期管理,"Maintain accurate consumer advisories, labels, and date-marking.","11 (Room temperature), 2 (Storage)",5,5,20260225T234301Z,2026-02-25T23:43:01+00:00
3200,BLUE,5,"Insects, rodents, animals not present; entrance controlled.",pest_control,medium,落实防虫防鼠与入口封闭措施，阻断害虫进入与繁殖。,封堵缝隙并加门底挡；保持干燥无积水和食物残渣；定期巡查并与专业公司联动,"Control pests through exclusion, sanitation, and routine monitoring.","2 (Storage), 10 (Cross contamination)",2,2,20260225T234301Z,2026-02-25T23:43:01+00:00
3300,BLUE,5,"Potential food contamination prevented during delivery, preparation, storage, display",cross_contamination,high,生熟分离、工器具分离、流程分区，降低交叉污染风险。,原料与即食食品分层分区存放；专板专刀专夹并颜色标识；关键转换步骤执行清洗消毒,Prevent cross-contamination through separation and sanitation controls.,"10 (Cross contamination), 2 (Storage), 12 (Serving food)",4,4,20260225T234301Z,2026-02-25T23:43:01+00:00
3400,BLUE,5,"Wiping cloths properly used, stored, sanitizer concentration",cleaning_and_sanitizing,medium,设备工器具和接触面按频次清洗消毒，保持有效消毒浓度。,配置并校验消毒液浓度；建立清洗消毒频次表；清洁区与污染区工具分开,Maintain cleaning/sanitizing schedules and proper sanitizer concentration.,"10 (Cross contamination), 13 (Personal hygiene)",5,5,20260225T234301Z,2026-02-25T23:43:01+00:00
3400,RED,5,"Wiping cloths properly used, stored",cleaning_and_sanitizing,high,设备工器具和接触面按频次清洗消毒，保持有效消毒浓度。,配置并校验消毒液浓度；建立清洗消毒频次表；清洁区与污染区工具分开,Maintain cleaning/sanitizing schedules and proper sanitizer concentration.,"10 (Cross contamination), 13 (Personal hygiene)",1,1,20260225T234039Z,2026-02-25T23:40:39+00:00
3500,BLUE,3,Employee cleanliness and hygiene,handwashing_and_contact,high,确保洗手设施可用并严格执行洗手与避免徒手接触即食食品。,补齐洗手池热水肥皂擦手纸；高风险工位张贴洗手时点；即食食品统一使用夹具手套或隔离介质,Enforce handwashing and no bare-hand contact with ready-to-eat food.,"13 (Handwashing), 10 (Cross contamination), 12 (Serving food)",293,264,20260225T234039Z,2026-02-25T23:40:39+00:00
3600,BLUE,3,"Proper eating, tasting, drinking, or tobacco use",handwashing_and_contact,high,确保洗手设施可用并严格执行洗手与避免徒手接触即食食品。,补齐洗手池热水肥皂擦手纸；高风险工位张贴洗手时点；即食食品统一使用夹具手套或隔离介质,Enforce handwashing and no bare-hand contact with ready-to-eat food.,"13 (Handwashing), 10 (Cross contamination), 12 (Serving food)",564,495,20260225T234039Z,2026-02-25T23:40:39+00:00
3700,BLUE,3,In-use utensils properly stored,utensil_and_single_use_management,medium,工器具与一次性用品规范存放，防止二次污染。,一次性用品离地防尘存放；在用工器具按规范放置；回收与清洁流程分离,Store utensils and single-use items properly to prevent contamination.,"10 (Cross contamination), 12 (Serving food)",1,1,20260225T234301Z,2026-02-25T23:43:01+00:00
3800,BLUE,3,"Utensils, equipment, linens properly stored,...",utensil_and_single_use_management,medium,工器具与一次性用品规范存放，防止二次污染。,一次性用品离地防尘存放；在用工器具按规范放置；回收与清洁流程分离,Store utensils and single-use items properly to prevent contamination.,"10 (Cross contamination), 12 (Serving food)",558,487,20260225T234039Z,2026-02-25T23:40:39+00:00
3900,BLUE,3,"Single-use and single-service articles properly stored, used",utensil_and_single_use_management,medium,工器具与一次性用品规范存放，防止二次污染。,一次性用品离地防尘存放；在用工器具按规范放置；回收与清洁流程分离,Store utensils and single-use items properly to prevent contamination.,"10 (Cross contamination), 12 (Serving food)",1,1,20260225T234301Z,2026-02-25T23:43:01+00:00
4000,BLUE,5,Food and non-food surfaces properly used and constructed; cleanable,cleaning_and_sanitizing,medium,设备工器具和接触面按频次清洗消毒，保持有效消毒浓度。,配置并校验消毒液浓度；建立清洗消毒频次表；清洁区与污染区工具分开,Maintain cleaning/sanitizing schedules and proper sanitizer concentration.,"10 (Cross contamination), 13 (Personal hygiene)",1,1,20260225T234301Z,2026-02-25T23:43:01+00:00
4100,BLUE,5,"Warewashing facilities properly installed, maintained, used;",cleaning_and_sanitizing,medium,设备工器具和接触面按频次清洗消毒，保持有效消毒浓度。,配置并校验消毒液浓度；建立清洗消毒频次表；清洁区与污染区工具分开,Maintain cleaning/sanitizing schedules and proper sanitizer concentration.,"10 (Cross contamination), 13 (Personal hygiene)",4,4,20260225T234301Z,2026-02-25T23:43:01+00:00
4200,BLUE,5,"Food-contact surfaces maintained, clean, sanitized",cleaning_and_sanitizing,medium,设备工器具和接触面按频次清洗消毒，保持有效消毒浓度。,配置并校验消毒液浓度；建立清洗消毒频次表；清洁区与污染区工具分开,Maintain cleaning/sanitizing schedules and proper sanitizer concentration.,"10 (Cross contamination), 13 (Personal hygiene)",3,3,20260225T234301Z,2026-02-25T23:43:01+00:00
4200,RED,5,"Food-contact surfaces maintained, clean, sanitized",cleaning_and_sanitizing,high,设备工器具和接触面按频次清洗消毒，保持有效消毒浓度。,配置并校验消毒液浓度；建立清洗消毒频次表；清洁区与污染区工具分开,Maintain cleaning/sanitizing schedules and proper sanitizer concentration.,"10 (Cross contamination), 13 (Personal hygiene)",1,1,20260225T234039Z,2026-02-25T23:40:39+00:00
4300,BLUE,3,Non-food contact surfaces maintained and clean,cleaning_and_sanitizing,medium,设备工器具和接触面按频次清洗消毒，保持有效消毒浓度。,配置并校验消毒液浓度；建立清洗消毒频次表；清洁区与污染区工具分开,Maintain cleaning/sanitizing schedules and proper sanitizer concentration.,"10 (Cross contamination), 13 (Personal hygiene)",3,3,20260225T234301Z,2026-02-25T23:43:01+00:00
4400,BLUE,5,"Plumbing properly sized, installed,...",plumbing_waste_toilet,medium,排水、污水和卫生间设施应完好可用，避免环境性污染。,及时修复漏水和回流风险点；污水排放按规范；卫生间补齐洗手用品并保持清洁,"Maintain plumbing, sewage disposal, and toilet facilities in sanitary condition.","2 (Storage), 13 (Personal hygiene)",2,2,20260225T234301Z,2026-02-25T23:43:01+00:00
4500,BLUE,5,"Sewage, waste water properly disposed",plumbing_waste_toilet,medium,排水、污水和卫生间设施应完好可用，避免环境性污染。,及时修复漏水和回流风险点；污水排放按规范；卫生间补齐洗手用品并保持清洁,"Maintain plumbing, sewage disposal, and toilet facilities in sanitary condition.","2 (Storage), 13 (Personal hygiene)",215,191,20260225T234039Z,2026-02-25T23:40:39+00:00
4600,BLUE,3,"Toilet facilities properly constructed, supplied, cleaned",plumbing_waste_toilet,medium,排水、污水和卫生间设施应完好可用，避免环境性污染。,及时修复漏水和回流风险点；污水排放按规范；卫生间补齐洗手用品并保持清洁,"Maintain plumbing, sewage disposal, and toilet facilities in sanitary condition.","2 (Storage), 13 (Personal hygiene)",259,233,20260225T234039Z,2026-02-25T23:40:39+00:00
4700,BLUE,3,"Garbage, refuse properly disposed; facilities...",facility_and_environment,low,完善场地、通风、照明与垃圾管理，保证运营环境卫生。,修复破损地面墙面天花；确保通风照明达标；垃圾容器加盖并及时清运,"Maintain physical facilities, ventilation, lighting, and refuse management.","2 (Storage), 10 (Cross contamination)",584,420,20260225T234039Z,2026-02-25T23:40:39+00:00
4800,BLUE,2,"Physical facilities properly installed,...",facility_and_environment,low,完善场地、通风、照明与垃圾管理，保证运营环境卫生。,修复破损地面墙面天花；确保通风照明达标；垃圾容器加盖并及时清运,"Maintain physical facilities, ventilation, lighting, and refuse management.","2 (Storage), 10 (Cross contamination)",2994,1667,20260225T234039Z,2026-02-25T23:40:39+00:00
4900,BLUE,2,Adequate ventilation; lighting; designated areas used,facility_and_environment,low,完善场地、通风、照明与垃圾管理，保证运营环境卫生。,修复破损地面墙面天花；确保通风照明达标；垃圾容器加盖并及时清运,"Maintain physical facilities, ventilation, lighting, and refuse management.","2 (Storage), 10 (Cross contamination)",2,2,20260225T234301Z,2026-02-25T23:43:01+00:00
5000,BLUE,2,Posting of permit; mobile establishment name easily visible,posting_and_public_display,low,按要求张贴许可和评级标识，确保公众可见且信息最新。,将许可与评级牌置于入口明显位置；变更后及时更换；定期巡检张贴状态,Post permits and rating placards visibly and keep displays current.,Regulatory posting requirements,1042,910,20260225T234039Z,2026-02-25T23:40:39+00:00
